Country,Population,growth_rate,pop_2050
World,8119000000,1.17,14524127111
China,1409670000,0.5,1808924934
India,1402737000,1.26,2627769156
United States,340110988,0.78,500749045
Indonesia,282477584,1.22,517113084
Pakistan,241499431,2.02,655348889
Nigeria,223800000,2.63,819552024
Brazil,212583750,0.86,325657129
Bangladesh,169828911,1.13,297369374
Russia,146150789,-0.01,145664414
Mexico,130154247,1.4,261258189
Japan,123740000,-0.1,117898711
Philippines,114163719,1.6,252886659
Ethiopia,109499000,2.57,388796394
Egypt,105914499,1.96,279085218
Vietnam,100309210,1.03,167163710
Iran,85961000,1.14,151762536
Turkey,85372377,1.4,171367689
Germany,84746132,0.07,87763689
France,68551000,0.47,86806917
United Kingdom,68265209,0.74,98532211
Thailand,65969270,0.4,80409315
South Africa,63015904,1.23,116121333
Tanzania,61741120,3.11,285043959
Italy,58958131,0.03,59948834
Colombia,52695952,0.99,86237441
Kenya,52428290,2.63,191991560
Myanmar,51316756,0.82,77195831
South Korea,51248233,0.48,65219966
Sudan,50448963,2.28,155989687
Spain,48946035,0.36,58482901
Argentina,47067441,1.01,77664498
Algeria,46700000,1.76,111730513
Uganda,45935046,3.35,238598771
Iraq,44414800,2.86,182203786
Canada,41465298,1.02,68760095
Poland,37519000,-0.07,36167732
Uzbekistan,37355356,1.51,78900762
Morocco,36828330,1.3,70135798
Afghanistan,35695527,2.78,140847356
Angola,35121734,3.46,192087906
Malaysia,34112400,1.65,77445018
Peru,34038457,1.25,63450687
Ukraine,33443000,-0.49,26160228
Mozambique,33244414,2.9,138831309
Ghana,33007618,2.37,106302204
Yemen,32305264,2.56,114519554
Saudi Arabia,32175224,2.49,109872747
Madagascar,30811969,2.75,119621978
Ivory Coast,29389150,2.37,94803023
Nepal,29164578,1.1,50481170
Cameroon,28758503,2.66,106690116
Venezuela,28405543,1.43,57678072
Australia,27204800,1.51,57650087
Niger,26312034,3.8,169833006
North Korea,25950000,0.41,31840927
Syria,24672760,0.23,27630075
Burkina Faso,23409015,2.95,100323750
Taiwan,23402795,0.35,27869974
Mali,22395489,3.07,101572081
Sri Lanka,21916000,0.51,28263434
Malawi,20270568,2.95,86592518
Kazakhstan,20243981,1.26,37860999
Chile,20086377,0.9,31386474
Zambia,19610769,2.92,82695809
Romania,19064409,-0.67,13622133
Somalia,19009151,2.91,79641285
Chad,18675547,3.21,90502569
Senegal,18126390,2.83,73164955
Netherlands,18045683,0.32,21136251
Guatemala,17843132,2.09,50109752
Cambodia,17336307,1.54,37223271
Ecuador,16938986,1.55,36549698
Zimbabwe,16751469,2.08,46967238
South Sudan,15254268,3.46,83428694
Rwanda,13798561,2.5,47427154
Guinea,13261638,2.34,42156815
Benin,12910087,2.79,51023269
Burundi,12837740,3.17,61116729
Haiti,12394537,1.37,24473869
Tunisia,11887412,1.1,20508275
Belgium,11872024,0.65,16386815
Papua New Guinea,11781559,2.18,34633603
Jordan,11516000,3.87,76755829
Bolivia,11312620,1.57,24610655
Cuba,11089511,0.13,11814090
Czech Republic,10897237,0.24,12305276
Dominican Republic,10771504,1.23,19848979
United Arab Emirates,10678556,5.08,127208383
Portugal,10639726,-0.22,9514369
Sweden,10587276,0.75,15408323
Greece,10413982,-0.12,9823543
Tajikistan,10277100,2.16,29916776
Azerbaijan,10214441,1.12,17855969
Israel,10027000,1.85,25073945
Honduras,9892632,1.84,24657107
Hungary,9584627,-0.32,8179049
